LRI	LIGAND_1	LIGAND_2	RECEPTOR_1	RECEPTOR_2	RECEPTOR_3	DATABASE	SOURCE
CRISP3:A1BG	CRISP3	NA	A1BG	NA	NA	CellTalkDB	PMID:15461460
A2M:LRP1	A2M	NA	LRP1	NA	NA	CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	FANTOM5;HPMR;HPRD;PMID:10652313;PMID:12194978;PMID:1702392
AANAT:MTNR1A	AANAT	NA	MTNR1A	NA	NA	CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	FANTOM5;HPMR;PMID:12943195
AANAT:MTNR1B	AANAT	NA	MTNR1B	NA	NA	CellTalkDB;connectomeDB2020;NicheNet;SingleCellSignalR	FANTOM5;HPMR;PMID:12943195
APOA1:ABCA1	APOA1	NA	ABCA1	NA	NA	CellTalkDB	PMID:27100352
APOE:ABCA1	APOE	NA	ABCA1	NA	NA	CellTalkDB	PMID:24814386
LIN7C:ABCA1	LIN7C	NA	ABCA1	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;HPRD;PMID:16192275
MEGF10:ABCA1	MEGF10	NA	ABCA1	NA	NA	CellTalkDB	PMID:17205124
PLTP:ABCA1	PLTP	NA	ABCA1	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:14559902
RIMS2:ABCA1	RIMS2	NA	ABCA1	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;HPRD;PMID:16192289
SHANK1:ABCA1	SHANK1	NA	ABCA1	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;HPRD;PMID:16192279;PMID:26198319;PMID:32196115
GHRL:ACE2	GHRL	NA	ACE2	NA	NA	CellPhoneDB	CellPhoneDB
ACE2:SLC6A19	ACE2	NA	SLC6A19	NA	NA	CellTalkDB	PMID:22677001;PMID:32500793
ACE:AGTR2	ACE	NA	AGTR2	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;HPRD;PMID:11459796;PMID:26198319;PMID:32196115
ACE:BDKRB2	ACE	NA	BDKRB2	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:10748135
CCL1:ACKR1	CCL1	NA	ACKR1	NA	NA	CellChat	PMID:26740381
CCL11:ACKR1	CCL11	NA	ACKR1	NA	NA	CellChat;CellTalkDB;ICELLNET;SingleCellSignalR	PMID:10699158;PMID:22633458;PMID:26740381
CCL13:ACKR1	CCL13	NA	ACKR1	NA	NA	CellChat;CellTalkDB;ICELLNET;SingleCellSignalR	PMID:10699158;PMID:22633458;PMID:26740381
CCL14:ACKR1	CCL14	NA	ACKR1	NA	NA	CellChat;CellTalkDB;ICELLNET;SingleCellSignalR	PMID:22633458;PMID:26740381;PMID:9405404
CCL16:ACKR1	CCL16	NA	ACKR1	NA	NA	CellChat	PMID:26740381
CCL17:ACKR1	CCL17	NA	ACKR1	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;SingleCellSignalR	CellPhoneDB;PMID:10699158;PMID:13679391;PMID:22633458;PMID:26740381
CCL18:ACKR1	CCL18	NA	ACKR1	NA	NA	CellChat	PMID:26740381
CCL2:ACKR1	CCL2	NA	ACKR1	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;SingleCellSignalR	CellPhoneDB;PMID:10699158;PMID:13679391;PMID:17416748;PMID:22633458;PMID:26740381
CCL5:ACKR1	CCL5	NA	ACKR1	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;SingleCellSignalR	CellPhoneDB;PMID:10699158;PMID:12081195;PMID:17416748;PMID:22633458;PMID:26740381
CCL7:ACKR1	CCL7	NA	ACKR1	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;SingleCellSignalR	CellPhoneDB;PMID:10699158;PMID:13679391;PMID:26740381
CCL8:ACKR1	CCL8	NA	ACKR1	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMID:13679391;PMID:26740381
CXCL1:ACKR1	CXCL1	NA	ACKR1	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;SingleCellSignalR	CellPhoneDB;PMID:10699158;PMID:12734373;PMID:22633458;PMID:24625696;PMID:26740381;PMID:7592830
CXCL10:ACKR1	CXCL10	NA	ACKR1	NA	NA	CellChat	PMID:26740381
CXCL11:ACKR1	CXCL11	NA	ACKR1	NA	NA	CellChat;CellTalkDB;SingleCellSignalR	PMID:10699158;PMID:26740381
CXCL13:ACKR1	CXCL13	NA	ACKR1	NA	NA	CellChat	PMID:26740381
CXCL2:ACKR1	CXCL2	NA	ACKR1	NA	NA	CellChat;ICELLNET	PMID:22633458;PMID:26740381;PMID:30446388
CXCL3:ACKR1	CXCL3	NA	ACKR1	NA	NA	CellChat	PMID:26740381
CXCL5:ACKR1	CXCL5	NA	ACKR1	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;SingleCellSignalR	CellPhoneDB;PMID:10699158;PMID:13679391;PMID:26740381
CXCL6:ACKR1	CXCL6	NA	ACKR1	NA	NA	CellChat;CellTalkDB;SingleCellSignalR	PMID:10699158;PMID:26740381
CXCL8:ACKR1	CXCL8	NA	ACKR1	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;SingleCellSignalR	CellPhoneDB;PMID:10699158;PMID:17416748;PMID:22633458;PMID:24218476;PMID:26740381;PMID:9921412
CXCL9:ACKR1	CXCL9	NA	ACKR1	NA	NA	CellChat	PMID:26740381
PF4:ACKR1	PF4	NA	ACKR1	NA	NA	CellPhoneDB;CellTalkDB	CellPhoneDB;PMID:32103204
PPBP:ACKR1	PPBP	NA	ACKR1	NA	NA	CellTalkDB;ICELLNET;SingleCellSignalR	PMID:10699158;PMID:22633458
CCL11:ACKR2	CCL11	NA	ACKR2	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMID:10699158;PMID:22633458;PMID:26740381;PMID:9405404
CCL13:ACKR2	CCL13	NA	ACKR2	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMID:10699158;PMID:22633458;PMID:24218476;PMID:26740381;PMID:9405404
CCL14:ACKR2	CCL14	NA	ACKR2	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMID:22633458;PMID:26740381;PMID:9405404;PMID:9660793
CCL17:ACKR2	CCL17	NA	ACKR2	NA	NA	CellChat;CellTalkDB;connectomeDB2020;ICELLNET;SingleCellSignalR	PMID:10699158;PMID:22633458;PMID:25297873;PMID:26740381
CCL19:ACKR2	CCL19	NA	ACKR2	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:10706668
CCL2:ACKR2	CCL2	NA	ACKR2	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMID:10699158;PMID:22633458;PMID:24218476;PMID:26740381;PMID:9364936;PMID:9405404
CCL21:ACKR2	CCL21	NA	ACKR2	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:10706668
CCL22:ACKR2	CCL22	NA	ACKR2	NA	NA	CellChat;CellTalkDB;connectomeDB2020;ICELLNET;SingleCellSignalR	PMID:10699158;PMID:22633458;PMID:25297873;PMID:26740381
CCL23:ACKR2	CCL23	NA	ACKR2	NA	NA	CellTalkDB;ICELLNET;SingleCellSignalR	PMID:10699158;PMID:22633458
CCL24:ACKR2	CCL24	NA	ACKR2	NA	NA	CellChat;CellTalkDB;ICELLNET;SingleCellSignalR	PMID:10699158;PMID:22633458;PMID:26740381
CCL25:ACKR2	CCL25	NA	ACKR2	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:10706668
CCL26:ACKR2	CCL26	NA	ACKR2	NA	NA	CellChat	PMID:26740381
CCL27:ACKR2	CCL27	NA	ACKR2	NA	NA	CellPhoneDB;CellTalkDB;connectomeDB2020;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMID:10725696;PMID:10725697;PMID:11821900
CCL28:ACKR2	CCL28	NA	ACKR2	NA	NA	CellPhoneDB;CellTalkDB;connectomeDB2020;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMID:10781587;PMID:28843907
CCL3:ACKR2	CCL3	NA	ACKR2	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMID:10699158;PMID:22633458;PMID:24218476;PMID:26740381;PMID:9405404
CCL3L1:ACKR2	CCL3L1	NA	ACKR2	NA	NA	CellChat;CellPhoneDB;connectomeDB2020;ICELLNET;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMID:10699158;PMID:22633458;PMID:25297873;PMID:26740381
CCL3L3:ACKR2	CCL3L3	NA	ACKR2	NA	NA	CellTalkDB;connectomeDB2020	PMID:10364178
CCL4:ACKR2	CCL4	NA	ACKR2	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMID:10699158;PMID:22633458;PMID:24218476;PMID:26740381;PMID:9405404
CCL4L1:ACKR2	CCL4L1	NA	ACKR2	NA	NA	ICELLNET	PMID:22633458
